Date,Value
2019-01-27,276651.0
2019-01-26,288285.0
2019-01-25,301085.0
2019-01-24,308146.0
2019-01-23,293494.0
2019-01-22,296040.0
2019-01-21,315202.0
2019-01-20,294118.0
2019-01-19,282188.0
2019-01-18,305965.0
2019-01-17,296695.0
2019-01-16,305702.0
2019-01-15,302279.0
2019-01-14,326685.0
2019-01-13,276997.0
2019-01-12,281502.0
2019-01-11,308372.0
2019-01-10,327338.0
2019-01-09,319056.0
2019-01-08,318524.0
2019-01-07,284782.0
2019-01-06,258522.0
2019-01-05,265192.0
2019-01-04,281772.0
2019-01-03,291016.0
2019-01-02,271696.0
2019-01-01,234725.0
2018-12-31,259684.0
2018-12-30,267639.0
2018-12-29,264980.0
2018-12-28,308267.0
2018-12-27,300020.0
2018-12-26,281305.0
2018-12-25,265052.0
2018-12-24,272297.0
2018-12-23,250739.0
2018-12-22,251216.0
2018-12-21,280588.0
2018-12-20,287273.0
2018-12-19,302392.0
2018-12-18,266245.0
2018-12-17,298823.0
2018-12-16,226453.0
2018-12-15,262879.0
2018-12-14,275801.0
2018-12-13,268422.0
2018-12-12,261423.0
2018-12-11,251487.0
2018-12-10,258353.0
2018-12-09,238569.0
2018-12-08,231104.0
2018-12-07,253890.0
2018-12-06,279654.0
2018-12-05,256501.0
2018-12-04,270189.0
2018-12-03,240652.0
2018-12-02,222673.0
2018-12-01,241847.0
2018-11-30,250157.0
2018-11-29,246226.0
2018-11-28,254456.0
2018-11-27,268533.0
2018-11-26,257062.0
2018-11-25,239256.0
2018-11-24,250017.0
2018-11-23,275261.0
2018-11-22,266116.0
2018-11-21,254942.0
2018-11-20,288450.0
2018-11-19,267971.0
2018-11-18,239803.0
2018-11-17,262649.0
2018-11-16,283124.0
2018-11-15,291525.0
2018-11-14,292755.0
2018-11-13,279160.0
2018-11-12,300006.0
2018-11-11,246991.0
2018-11-10,252499.0
2018-11-09,283896.0
2018-11-08,277597.0
2018-11-07,293734.0
2018-11-06,285451.0
2018-11-05,296283.0
2018-11-04,226247.0
2018-11-03,249564.0
2018-11-02,292704.0
2018-11-01,281941.0
2018-10-31,288283.0
2018-10-30,283327.0
2018-10-29,269754.0
2018-10-28,219860.0
2018-10-27,233749.0
2018-10-26,253002.0
2018-10-25,254599.0
2018-10-24,254091.0
2018-10-23,253463.0
2018-10-22,255324.0
2018-10-21,211505.0
2018-10-20,227821.0
2018-10-19,253826.0
2018-10-18,253450.0
2018-10-17,260362.0
2018-10-16,257967.0
2018-10-15,266945.0
2018-10-14,191259.0
2018-10-13,205097.0
2018-10-12,243174.0
2018-10-11,262467.0
2018-10-10,244945.0
2018-10-09,235862.0
2018-10-08,248041.0
2018-10-07,219731.0
2018-10-06,214843.0
2018-10-05,244719.0
2018-10-04,243157.0
2018-10-03,242303.0
2018-10-02,244772.0
2018-10-01,242820.0
2018-09-30,208210.0
2018-09-29,218339.0
2018-09-28,254239.0
2018-09-27,248686.0
2018-09-26,243927.0
2018-09-25,252113.0
2018-09-24,237670.0
2018-09-23,200319.0
2018-09-22,225537.0
2018-09-21,273051.0
2018-09-20,253674.0
2018-09-19,251037.0
2018-09-18,244259.0
2018-09-17,240152.0
2018-09-16,179483.0
2018-09-15,211071.0
2018-09-14,223250.0
2018-09-13,234209.0
2018-09-12,233275.0
2018-09-11,237571.0
2018-09-10,222866.0
2018-09-09,188912.0
2018-09-08,204428.0
2018-09-07,230790.0
2018-09-06,252261.0
2018-09-05,246477.0
2018-09-04,232265.0
2018-09-03,222897.0
2018-09-02,187145.0
2018-09-01,213331.0
2018-08-31,237076.0
2018-08-30,231391.0
2018-08-29,237508.0
2018-08-28,238039.0
2018-08-27,223656.0
2018-08-26,172747.0
2018-08-25,196420.0
2018-08-24,219848.0
2018-08-23,217352.0
2018-08-22,230333.0
2018-08-21,217777.0
2018-08-20,214983.0
2018-08-19,167400.0
2018-08-18,190935.0
2018-08-17,233794.0
2018-08-16,232335.0
2018-08-15,246066.0
2018-08-14,247622.0
2018-08-13,222229.0
2018-08-12,165044.0
2018-08-11,192438.0
2018-08-10,226148.0
2018-08-09,222326.0
2018-08-08,235311.0
2018-08-07,233045.0
2018-08-06,218607.0
2018-08-05,172181.0
2018-08-04,191657.0
2018-08-03,229859.0
2018-08-02,224873.0
2018-08-01,241044.0
2018-07-31,242977.0
2018-07-30,230924.0
2018-07-29,168407.0
2018-07-28,188238.0
2018-07-27,229397.0
2018-07-26,231679.0
2018-07-25,250208.0
2018-07-24,259358.0
2018-07-23,229480.0
2018-07-22,167129.0
2018-07-21,184803.0
2018-07-20,225529.0
2018-07-19,225039.0
2018-07-18,238769.0
2018-07-17,233966.0
2018-07-16,207842.0
2018-07-15,161151.0
2018-07-14,176475.0
2018-07-13,207904.0
2018-07-12,203535.0
2018-07-11,202603.0
2018-07-10,216063.0
2018-07-09,206546.0
2018-07-08,155685.0
2018-07-07,170160.0
2018-07-06,200993.0
2018-07-05,199600.0
2018-07-04,206788.0
2018-07-03,216747.0
2018-07-02,199294.0
2018-07-01,156247.0
2018-06-30,181065.0
2018-06-29,197881.0
2018-06-28,187624.0
2018-06-27,188510.0
2018-06-26,195404.0
2018-06-25,200173.0
2018-06-24,158022.0
2018-06-23,163295.0
2018-06-22,204144.0
2018-06-21,198113.0
2018-06-20,198889.0
2018-06-19,191805.0
2018-06-18,196305.0
2018-06-17,144908.0
2018-06-16,159090.0
2018-06-15,205861.0
2018-06-14,210029.0
2018-06-13,211829.0
2018-06-12,214595.0
2018-06-11,213196.0
2018-06-10,179809.0
2018-06-09,171306.0
2018-06-08,200379.0
2018-06-07,207627.0
2018-06-06,206417.0
2018-06-05,212901.0
2018-06-04,209916.0
2018-06-03,163443.0
2018-06-02,174497.0
2018-06-01,205481.0
2018-05-31,209526.0
2018-05-30,204077.0
2018-05-29,204769.0
2018-05-28,189063.0
2018-05-27,144304.0
2018-05-26,158783.0
2018-05-25,196181.0
2018-05-24,206825.0
2018-05-23,223196.0
2018-05-22,203337.0
2018-05-21,202647.0
2018-05-20,158663.0
2018-05-19,173274.0
2018-05-18,211496.0
2018-05-17,192683.0
2018-05-16,208463.0
2018-05-15,214779.0
2018-05-14,209697.0
2018-05-13,158794.0
